name,slug, km,date_of_information,ranking,region
"Ethiopia","ethiopia","659","2017",104,"Africa"
"Gabon","gabon","649","2014",105,"Africa"
"Cambodia","cambodia","642","2014",106,"East and Southeast Asia"
"Burkina Faso","burkina-faso","622","2014",107,"Africa"
"Fiji","fiji","597","2008",108,"Australia and Oceania"
"Mali","mali","593","2014",109,"Africa"
"Togo","togo","568","2014",110,"Africa"
"Congo, Republic of the","congo-republic-of-the","510","2014",111,"Africa"
"Jordan","jordan","509","2020",112,"Middle East"
"Dominican Republic","dominican-republic","496","2014",113,"Central America and the Caribbean"
"Venezuela","venezuela","447","2014",114,"South America"
"Benin","benin","438","2014",115,"Africa"
"Kosovo","kosovo","437","2020",116,"Europe"
"Liberia","liberia","429","2008",117,"Africa"
"Kyrgyzstan","kyrgyzstan","424","2022",118,"Central Asia"
"Albania","albania","424","2017",119,"Europe"
"Laos","laos","422","2023",120,"East and Southeast Asia"
"Lebanon","lebanon","401","2017",121,"Middle East"
"Eritrea","eritrea","306","2018",122,"Africa"
"Eswatini","eswatini","301","2014",123,"Africa"
"Costa Rica","costa-rica","278","2014",124,"Central America and the Caribbean"
"Luxembourg","luxembourg","271","2020",125,"Europe"
"Montenegro","montenegro","250","2017",126,"Europe"
"South Sudan","south-sudan","248","2018",127,"Africa"
"Djibouti","djibouti","97","2017",128,"Africa"
"Panama","panama","77","2014",129,"Central America and the Caribbean"
"Philippines","philippines","77","2017",130,"East and Southeast Asia"
"Isle of Man","isle-of-man","63","2008",131,"Europe"
"Nepal","nepal","59","2018",132,"South Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","50","2008",133,"Central America and the Caribbean"
"Paraguay","paraguay","30","2014",134,"South America"
"Christmas Island","christmas-island","18","2017",135,"Australia and Oceania"
"El Salvador","el-salvador","12.5","2014",136,"Central America and the Caribbean"
"Liechtenstein","liechtenstein","9","2018",137,"Europe"
