name,slug, kW,date_of_information,ranking,region
"Korea, North","korea-north","8,277,000","2022",71,"East and Southeast Asia"
"Serbia","serbia","8,075,000","2022",72,"Europe"
"Slovakia","slovakia","8,029,000","2022",73,"Europe"
"Azerbaijan","azerbaijan","7,710,000","2022",74,"Middle East"
"Cuba","cuba","7,667,000","2022",75,"Central America and the Caribbean"
"Angola","angola","7,588,000","2022",76,"Africa"
"Burma","burma","6,993,000","2022",77,"East and Southeast Asia"
"Bahrain","bahrain","6,983,000","2022",78,"Middle East"
"Jordan","jordan","6,805,000","2022",79,"Middle East"
"Puerto Rico","puerto-rico","6,601,000","2022",80,"Central America and the Caribbean"
"Tunisia","tunisia","6,328,000","2022",81,"Africa"
"Tajikistan","tajikistan","5,993,000","2022",82,"Central Asia"
"Ethiopia","ethiopia","5,730,000","2022",83,"Africa"
"Dominican Republic","dominican-republic","5,573,000","2022",84,"Central America and the Caribbean"
"Ghana","ghana","5,444,000","2022",85,"Africa"
"Croatia","croatia","5,417,000","2022",86,"Europe"
"Uruguay","uruguay","5,360,000","2022",87,"South America"
"Guatemala","guatemala","5,210,000","2022",88,"Central America and the Caribbean"
"Turkmenistan","turkmenistan","5,202,000","2022",89,"Central Asia"
"Sri Lanka","sri-lanka","5,040,000","2022",90,"South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","4,591,000","2022",91,"Europe"
"Panama","panama","4,434,000","2022",92,"Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","4,408,000","2022",93,"Central Asia"
"Slovenia","slovenia","4,322,000","2022",94,"Europe"
"Lithuania","lithuania","4,258,000","2022",95,"Europe"
"Lebanon","lebanon","4,141,000","2022",96,"Middle East"
"Georgia","georgia","4,128,000","2022",97,"Middle East"
"Bolivia","bolivia","4,104,000","2022",98,"South America"
"Comoros","comoros","4,036,000","2022",99,"Africa"
"Armenia","armenia","3,893,000","2022",100,"Middle East"
"Zambia","zambia","3,863,000","2022",101,"Africa"
"Sudan","sudan","3,815,000","2022",102,"Africa"
"Kenya","kenya","3,746,000","2022",103,"Africa"
"Costa Rica","costa-rica","3,692,000","2022",104,"Central America and the Caribbean"
"Latvia","latvia","3,233,000","2022",105,"Europe"
"Cambodia","cambodia","3,204,000","2022",106,"East and Southeast Asia"
"Honduras","honduras","3,195,000","2022",107,"Central America and the Caribbean"
"Iceland","iceland","3,006,000","2022",108,"Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","2,904,000","2022",109,"Africa"
"Estonia","estonia","2,871,000","2022",110,"Europe"
"El Salvador","el-salvador","2,853,000","2022",111,"Central America and the Caribbean"
"Mozambique","mozambique","2,770,000","2022",112,"Africa"
"Albania","albania","2,635,000","2022",113,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","2,522,000","2022",114,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","2,487,000","2022",115,"Africa"
"Uganda","uganda","2,436,000","2022",116,"Africa"
"Nepal","nepal","2,389,000","2022",117,"South Asia"
"Bhutan","bhutan","2,342,000","2022",118,"South Asia"
"Cote d'Ivoire","cote-divoire","2,282,000","2022",119,"Africa"
"North Macedonia","north-macedonia","2,153,000","2022",120,"Europe"
"Cyprus","cyprus","2,145,000","2022",121,"Europe"
"Luxembourg","luxembourg","2,002,000","2022",122,"Europe"
"Nicaragua","nicaragua","1,841,000","2022",123,"Central America and the Caribbean"
"Yemen","yemen","1,776,000","2022",124,"Middle East"
"Cameroon","cameroon","1,763,000","2022",125,"Africa"
"Tanzania","tanzania","1,677,000","2022",126,"Africa"
"Senegal","senegal","1,668,000","2022",127,"Africa"
"Mongolia","mongolia","1,610,000","2022",128,"East and Southeast Asia"
"Kosovo","kosovo","1,547,000","2022",129,"Europe"
"Brunei","brunei","1,265,000","2022",130,"East and Southeast Asia"
"Papua New Guinea","papua-new-guinea","1,263,000","2022",131,"East and Southeast Asia"
"Jamaica","jamaica","1,222,000","2022",132,"Central America and the Caribbean"
"Guinea","guinea","1,191,000","2022",133,"Africa"
"Mali","mali","1,145,000","2022",134,"Africa"
"New Caledonia","new-caledonia","1,069,000","2022",135,"Australia and Oceania"
"Montenegro","montenegro","1,066,000","2022",136,"Europe"
"Mauritius","mauritius","956,000","2022",137,"Africa"
"Congo, Republic of the","congo-republic-of-the","842,000","2022",138,"Africa"
"Malta","malta","805,000","2022",139,"Europe"
"Gabon","gabon","784,000","2022",140,"Africa"
"Malawi","malawi","758,000","2022",141,"Africa"
"Botswana","botswana","738,000","2022",142,"Africa"
"Mauritania","mauritania","675,000","2022",143,"Africa"
"Madagascar","madagascar","663,000","2022",144,"Africa"
"Namibia","namibia","646,000","2022",145,"Africa"
"Afghanistan","afghanistan","627,000","2022",146,"South Asia"
"Moldova","moldova","625,000","2022",147,"Europe"
"Bahamas, The","bahamas-the","578,000","2022",148,"Central America and the Caribbean"
"Maldives","maldives","566,000","2022",149,"South Asia"
"Suriname","suriname","537,000","2022",150,"South America"
"Guam","guam","525,000","2022",151,"Australia and Oceania"
"Benin","benin","500,000","2022",152,"Africa"
"Haiti","haiti","471,000","2022",153,"Central America and the Caribbean"
"Burkina Faso","burkina-faso","449,000","2022",154,"Africa"
"Macau","macau","437,000","2022",155,"East and Southeast Asia"
"Fiji","fiji","413,000","2022",156,"Australia and Oceania"
"Guyana","guyana","385,000","2022",157,"South America"
"Niger","niger","359,000","2022",158,"Africa"
"West Bank","west-bank","352,000","2022",159,"Middle East"
"Gaza Strip","gaza-strip","352,000","2022",160,"Middle East"
"Equatorial Guinea","equatorial-guinea","349,000","2022",161,"Africa"
"Barbados","barbados","340,000","2022",162,"Central America and the Caribbean"
"Virgin Islands","virgin-islands","326,000","2022",163,"Central America and the Caribbean"
"Togo","togo","309,000","2022",164,"Africa"
"Aruba","aruba","304,000","2022",165,"Central America and the Caribbean"
"Eswatini","eswatini","287,000","2022",166,"Africa"
"Timor-Leste","timor-leste","283,000","2022",167,"East and Southeast Asia"
"French Polynesia","french-polynesia","280,000","2022",168,"Australia and Oceania"
"Rwanda","rwanda","273,000","2022",169,"Africa"
"Eritrea","eritrea","219,000","2022",170,"Africa"
"Belize","belize","217,000","2022",171,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","204,000","2022",172,"Africa"
"Liberia","liberia","197,000","2022",173,"Africa"
"Greenland","greenland","188,000","2022",174,"North America"
"Faroe Islands","faroe-islands","178,000","2022",175,"Europe"
"Cayman Islands","cayman-islands","175,000","2022",176,"Central America and the Caribbean"
"Bermuda","bermuda","173,000","2022",177,"North America"
"Seychelles","seychelles","158,000","2022",178,"Africa"
"Djibouti","djibouti","150,000","2022",179,"Africa"
"Gambia, The","gambia-the","140,000","2022",180,"Africa"
"Sierra Leone","sierra-leone","138,000","2022",181,"Africa"
"South Sudan","south-sudan","134,000","2022",182,"Africa"
"Somalia","somalia","131,000","2022",183,"Africa"
"Burundi","burundi","114,000","2022",184,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","97,000","2022",185,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","92,000","2022",186,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","91,000","2022",187,"Central America and the Caribbean"
"Chad","chad","90,000","2022",188,"Africa"
"Lesotho","lesotho","75,000","2022",189,"Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","72,000","2022",190,"Central America and the Caribbean"
"Grenada","grenada","56,000","2022",191,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","54,000","2022",192,"Central America and the Caribbean"
"Samoa","samoa","53,000","2022",193,"Australia and Oceania"
"American Samoa","american-samoa","48,000","2022",194,"Australia and Oceania"
"British Virgin Islands","british-virgin-islands","47,000","2022",195,"Central America and the Caribbean"
"Gibraltar","gibraltar","43,000","2022",196,"Europe"
"Dominica","dominica","42,000","2022",197,"Central America and the Caribbean"
"Vanuatu","vanuatu","38,000","2022",198,"Australia and Oceania"
"Central African Republic","central-african-republic","38,000","2022",199,"Africa"
"Solomon Islands","solomon-islands","37,000","2022",200,"Australia and Oceania"
"Tonga","tonga","33,000","2022",201,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","30,000","2022",202,"Africa"
"Guinea-Bissau","guinea-bissau","28,000","2022",203,"Africa"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","26,000","2022",204,"North America"
"Nauru","nauru","19,000","2022",205,"Australia and Oceania"
"Cook Islands","cook-islands","17,000","2022",206,"Australia and Oceania"
"Kiribati","kiribati","11,000","2022",207,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","10,000","2022",208,"South America"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","8,000","2022",209,"Africa"
"Montserrat","montserrat","6,000","2022",210,"Central America and the Caribbean"
"Niue","niue","3,000","2022",211,"Australia and Oceania"
