IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.019,,,0,,0.13,0.02 [0 - 0.13],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.034,,,0.003,,0.049,0.03 [0 - 0.05],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,SMR,San Marino,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.034,,,0.034,,0.034,0.03 [0.03 - 0.03],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,GMB,Gambia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.041,,,0,,0.19,0.04 [0 - 0.19],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,LBR,Liberia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.043,,,0,,0.35,0.04 [0 - 0.35],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,MCO,Monaco,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.04,,,0.04,,0.04,0.04 [0.04 - 0.04],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,CAF,Central African Republic,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.051,,,0,,0.42,0.05 [0 - 0.42],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,FRO,Faroe Islands,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.05,,,0.05,,0.05,0.05 [0.05 - 0.05],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.058,,,0.01,,0.16,0.06 [0.01 - 0.16],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.058,,,0.058,,0.058,0.06 [0.06 - 0.06],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,DMA,Dominica,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.066,,,0.028,,0.075,0.07 [0.03 - 0.08],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.084,,,0,,0.49,0.08 [0 - 0.49],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,WSM,Samoa,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.08,,,0.038,,0.13,0.08 [0.04 - 0.13],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,AND,Andorra,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.077,,,0.077,,0.077,0.08 [0.08 - 0.08],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,COM,Comoros,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.087,,,0.034,,0.17,0.09 [0.03 - 0.17],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,GRD,Grenada,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.093,,,0.042,,0.11,0.09 [0.04 - 0.11],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.1,,,0.052,,0.11,0.1 [0.05 - 0.11],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,TON,Tonga,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.1,,,0.084,,0.11,0.1 [0.08 - 0.11],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,SYC,Seychelles,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.097,,,0.097,,0.097,0.1 [0.1 - 0.1],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.11,,,0.002,,0.5,0.11 [0 - 0.5],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.11,,,0.11,,0.11,0.11 [0.11 - 0.11],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,GIN,Guinea,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.16,,,0,,0.81,0.16 [0 - 0.81],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.17,,,0.11,,0.18,0.17 [0.11 - 0.18],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,MLI,Mali,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.26,,,0,,1.25,0.26 [0 - 1.25],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.26,,,0.075,,0.57,0.26 [0.07 - 0.57],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,BRB,Barbados,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.29,,,0.29,,0.29,0.29 [0.29 - 0.29],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,UGA,Uganda,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.3,,,0,,2.01,0.3 [0 - 2.01],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,MWI,Malawi,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.3,,,0.021,,0.94,0.3 [0.02 - 0.94],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.33,,,0.004,,1.09,0.33 [0 - 1.09],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,BLZ,Belize,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.34,,,0.26,,0.39,0.34 [0.26 - 0.39],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,ISL,Iceland,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.35,,,0.35,,0.35,0.35 [0.35 - 0.35],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,MNE,Montenegro,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.39,,,0.25,,0.51,0.39 [0.25 - 0.51],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,BHS,Bahamas,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.41,,,0.41,,0.41,0.41 [0.41 - 0.41],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,MDG,Madagascar,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.44,,,0.029,,1.6,0.44 [0.03 - 1.6],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,MLT,Malta,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.44,,,0.44,,0.44,0.44 [0.44 - 0.44],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.45,,,0.45,,0.45,0.45 [0.45 - 0.45],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.47,,,0.44,,0.47,0.47 [0.44 - 0.47],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,CPV,Cabo Verde,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.48,,,0.41,,0.53,0.48 [0.41 - 0.53],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,HTI,Haiti,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.52,,,0.023,,1.99,0.52 [0.02 - 1.99],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,FJI,Fiji,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.53,,,0.31,,0.71,0.53 [0.31 - 0.71],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,SUR,Suriname,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.56,,,0.5,,0.58,0.56 [0.5 - 0.58],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,ERI,Eritrea,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.6,,,0.04,,2.15,0.6 [0.04 - 2.15],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,LUX,Luxembourg,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.62,,,0.62,,0.62,0.62 [0.62 - 0.62],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,SWZ,Eswatini,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.73,,,0.43,,1.03,0.73 [0.43 - 1.03],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.75,,,0.21,,1.63,0.75 [0.21 - 1.63],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.75,,,0.45,,0.85,0.75 [0.45 - 0.85],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,BEN,Benin,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.77,,,0.18,,1.96,0.77 [0.18 - 1.96],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,GUY,Guyana,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.8,,,0.8,,0.8,0.8 [0.8 - 0.8],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.82,,,0.017,,3.38,0.82 [0.02 - 3.38],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.91,,,0.16,,2.63,0.91 [0.16 - 2.63],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,LSO,Lesotho,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,0.99,,,0.52,,1.57,0.99 [0.52 - 1.57],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,TGO,Togo,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.05,,,0.34,,2.21,1.05 [0.34 - 2.21],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,RWA,Rwanda,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.13,,,0.46,,2.12,1.13 [0.46 - 2.12],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,CYP,Cyprus,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.22,,,1.22,,1.22,1.22 [1.22 - 1.22],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,MUS,Mauritius,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.27,,,1.17,,1.28,1.27 [1.17 - 1.28],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,EST,Estonia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.29,,,1.29,,1.29,1.29 [1.29 - 1.29],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,NAM,Namibia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.33,,,0.75,,1.89,1.33 [0.75 - 1.89],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.38,,,1.38,,1.38,1.38 [1.38 - 1.38],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.43,,,0.13,,2.86,1.43 [0.13 - 2.86],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,NER,Niger,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.48,,,0.23,,3.87,1.48 [0.23 - 3.87],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,TCD,Chad,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.64,,,0.36,,3.85,1.64 [0.36 - 3.85],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,BWA,Botswana,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.65,,,1.17,,2.07,1.65 [1.17 - 2.07],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,EUR,Europe,Country,MKD,North Macedonia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.7,,,0.84,,2.08,1.7 [0.84 - 2.08],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,AFR,Africa,Country,ZMB,Zambia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.78,,,0.67,,3.49,1.78 [0.67 - 3.49],,,EN,2024-06-30T22:00:00.000Z
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2022,true,Residence Area Type,Total,RESIDENCEAREATYPE_TOTL,,,,,,,,,,1.78,,,1.26,,2.28,1.78 [1.26 - 2.28],,,EN,2024-06-30T22:00:00.000Z
